,learning_rate,momentum,test_accuracy
279,0.28,1.0,0.372
280,0.29,0.1,0.8239
281,0.29,0.2,0.8295
282,0.29,0.3,0.8231
283,0.29,0.4,0.7467
284,0.29,0.5,0.6535
285,0.29,0.6,0.6597
286,0.29,0.7,0.5704
287,0.29,0.8,0.4589
288,0.29,0.9,0.4515
289,0.29,1.0,0.345
290,0.3,0.1,0.8224
291,0.3,0.2,0.8192
292,0.3,0.3,0.8253
293,0.3,0.4,0.7497
294,0.3,0.5,0.6551
295,0.3,0.6,0.6517
296,0.3,0.7,0.4608
297,0.3,0.8,0.4489
298,0.3,0.9,0.4508
299,0.3,1.0,0.3288
300,0.31,0.1,0.8217
301,0.31,0.2,0.8221
302,0.31,0.3,0.8233
303,0.31,0.4,0.7495
304,0.31,0.5,0.6563
305,0.31,0.6,0.5712
306,0.31,0.7,0.4606
307,0.31,0.8,0.4589
308,0.31,0.9,0.4576
309,0.31,1.0,0.3259
310,0.32,0.1,0.8267
311,0.32,0.2,0.8189
312,0.32,0.3,0.7524
313,0.32,0.4,0.7507
314,0.32,0.5,0.6563
315,0.32,0.6,0.5715
316,0.32,0.7,0.4597
317,0.32,0.8,0.457
318,0.32,0.9,0.4565
319,0.32,1.0,0.3459
320,0.33,0.1,0.8249
321,0.33,0.2,0.8241
322,0.33,0.3,0.7539
323,0.33,0.4,0.7495
324,0.33,0.5,0.6431
325,0.33,0.6,0.5679
326,0.33,0.7,0.4556
327,0.33,0.8,0.4506
328,0.33,0.9,0.4447
329,0.33,1.0,0.3536
330,0.34,0.1,0.8296
331,0.34,0.2,0.8127
332,0.34,0.3,0.75
333,0.34,0.4,0.658
334,0.34,0.5,0.654
335,0.34,0.6,0.5676
336,0.34,0.7,0.4569
337,0.34,0.8,0.4436
338,0.34,0.9,0.4551
339,0.34,1.0,0.3765
340,0.35,0.1,0.8307
341,0.35,0.2,0.8196
342,0.35,0.3,0.746
343,0.35,0.4,0.7496
344,0.35,0.5,0.6556
345,0.35,0.6,0.4602
346,0.35,0.7,0.459
347,0.35,0.8,0.453
348,0.35,0.9,0.4555
349,0.35,1.0,0.3372
350,0.36,0.1,0.8264
351,0.36,0.2,0.7493
352,0.36,0.3,0.7519
353,0.36,0.4,0.6538
354,0.36,0.5,0.5672
355,0.36,0.6,0.5679
356,0.36,0.7,0.4565
357,0.36,0.8,0.4545
358,0.36,0.9,0.4508
359,0.36,1.0,0.3471
360,0.37,0.1,0.8251
361,0.37,0.2,0.7512
362,0.37,0.3,0.7538
363,0.37,0.4,0.6559
364,0.37,0.5,0.5444
365,0.37,0.6,0.5675
366,0.37,0.7,0.457
367,0.37,0.8,0.4557
368,0.37,0.9,0.4453
369,0.37,1.0,0.3347
370,0.38,0.1,0.8267
371,0.38,0.2,0.7508
372,0.38,0.3,0.7517
